# center mu_1 mu_2 mu_3 mu_4 mu_5
1.417384578961686792e+00 -4.072693595657765009e+00 -4.078217262181533798e+00 -4.032554556439028381e+00 -4.057795195435504709e+00 -3.971301083303021340e+00
1.435297517696060066e+00 -4.072497430225673121e+00 -4.077960586568858403e+00 -4.032234784803320871e+00 -4.057552043935469754e+00 -3.971078493552951283e+00
1.453132417959313694e+00 -4.073411607389427758e+00 -4.078851884843370357e+00 -4.033107872066374000e+00 -4.058361980914049205e+00 -3.971907472700537678e+00
1.471021441890851600e+00 -4.072395860839322701e+00 -4.077816117281990671e+00 -4.032063077995687195e+00 -4.057402493268031485e+00 -3.970880320462523816e+00
1.489130754692912673e+00 -4.072611084207561127e+00 -4.077977781810457003e+00 -4.032138518776835490e+00 -4.057605060624974946e+00 -3.970948327065101591e+00
1.523146885374095483e+00 -4.073706580895765761e+00 -4.079059626235025604e+00 -4.033164892659546474e+00 -4.058720833057012811e+00 -3.971963310421883886e+00
1.557229262893903510e+00 -4.073749114610610178e+00 -4.079082556064388854e+00 -4.033234292913547847e+00 -4.058766057903282487e+00 -3.972057927628224405e+00
1.575565075168348761e+00 -4.074786902014493783e+00 -4.080155380387065378e+00 -4.034299343050918196e+00 -4.059686926522321215e+00 -3.973058310631571555e+00
1.593522048742578301e+00 -4.074727951067958820e+00 -4.080116502232828068e+00 -4.034263637890988186e+00 -4.059617111247630916e+00 -3.972989715258091525e+00
1.611414630562417516e+00 -4.074353429257080883e+00 -4.079719948702559051e+00 -4.033826077502805418e+00 -4.059234105787669300e+00 -3.972549403488173869e+00
1.629373997205365798e+00 -4.074814234530302670e+00 -4.080235460302683137e+00 -4.034333068053723714e+00 -4.059645049409230211e+00 -3.972937358071715774e+00
1.647345980341260896e+00 -4.075304591193424031e+00 -4.080729098461890914e+00 -4.034728914921699605e+00 -4.060154619396046272e+00 -3.973342974620618140e+00
1.665300873583967611e+00 -4.074829584888812306e+00 -4.080253460828556555e+00 -4.034297142435782746e+00 -4.059693617398608012e+00 -3.972874653983213822e+00
1.683205868105845937e+00 -4.075641847187593925e+00 -4.081135612025278192e+00 -4.035252529382677977e+00 -4.060508551437406410e+00 -3.973742579278460862e+00
1.701064382654625451e+00 -4.076487536064922423e+00 -4.082007229980323615e+00 -4.036163493175005001e+00 -4.061336170437281012e+00 -3.974622510881515858e+00
1.718985256128268579e+00 -4.076680404029427329e+00 -4.082226832864321864e+00 -4.036394708980334478e+00 -4.061544590983586112e+00 -3.974794555964637155e+00
1.736883033696132062e+00 -4.076899673889855080e+00 -4.082449291671785829e+00 -4.036600970885397821e+00 -4.061741989658468555e+00 -3.974986370694884030e+00
1.754742446301443159e+00 -4.076531683082868618e+00 -4.082114360313903845e+00 -4.036206604230006434e+00 -4.061301932820184035e+00 -3.974518389295347287e+00
1.772592860069924336e+00 -4.076366721428916762e+00 -4.081917006235583401e+00 -4.035949934216592538e+00 -4.061101868362696266e+00 -3.974302051977383954e+00
1.790476483272308128e+00 -4.076536474271867938e+00 -4.082109732767548849e+00 -4.036116515619148970e+00 -4.061248527656677432e+00 -3.974382762519115264e+00
1.808357197974679531e+00 -4.075703732715320271e+00 -4.081261696757403357e+00 -4.035261499294386489e+00 -4.060338172419458935e+00 -3.973490870547566889e+00
1.826241845483497439e+00 -4.075591202593242812e+00 -4.080998706384923125e+00 -4.034882763027678898e+00 -4.060270104984031292e+00 -3.973248920083353841e+00
1.844134857743135347e+00 -4.075388412694167073e+00 -4.080800315156489333e+00 -4.034743459073146354e+00 -4.060166655759765320e+00 -3.973118064542842998e+00
1.862009283415841487e+00 -4.075306346912001665e+00 -4.080773221283676477e+00 -4.034717467148543513e+00 -4.060102208256884282e+00 -3.973043276113335409e+00
1.879897373811795891e+00 -4.074810877096447292e+00 -4.080303897245487477e+00 -4.034310029250343987e+00 -4.059624873833029390e+00 -3.972586389985764743e+00
1.897788955033598235e+00 -4.075735437690671148e+00 -4.081217913331867564e+00 -4.035163167307452170e+00 -4.060463032013098328e+00 -3.973405687894431271e+00
